freq,unit,bmi,geo,TIME_PERIOD,values
A,PC,BMI_GE25,NO,2025,54.2
A,PC,BMI_GE25,PL,2008,54
A,PC,BMI_GE25,PL,2014,54.7
A,PC,BMI_GE25,PL,2017,56.1
A,PC,BMI_GE25,PL,2019,58.1
A,PC,BMI_GE25,PL,2022,58.4
A,PC,BMI_GE25,PL,2025,58.8
A,PC,BMI_GE25,PT,2014,53.6
A,PC,BMI_GE25,PT,2017,53.3
A,PC,BMI_GE25,PT,2019,55.9
A,PC,BMI_GE25,PT,2022,53
A,PC,BMI_GE25,PT,2025,55.2
A,PC,BMI_GE25,RO,2008,50.3
A,PC,BMI_GE25,RO,2014,55.8
A,PC,BMI_GE25,RO,2017,62.9
A,PC,BMI_GE25,RO,2019,58.7
A,PC,BMI_GE25,RO,2022,59.7
A,PC,BMI_GE25,RO,2025,62.3
A,PC,BMI_GE25,RS,2017,49.5
A,PC,BMI_GE25,RS,2019,53.6
A,PC,BMI_GE25,RS,2022,52.4
A,PC,BMI_GE25,RS,2025,53
A,PC,BMI_GE25,SE,2014,49.9
A,PC,BMI_GE25,SE,2017,57.6
A,PC,BMI_GE25,SE,2019,51.3
A,PC,BMI_GE25,SE,2022,53.1
A,PC,BMI_GE25,SE,2025,54.2
A,PC,BMI_GE25,SI,2008,56.6
A,PC,BMI_GE25,SI,2014,56.6
A,PC,BMI_GE25,SI,2017,52.5
A,PC,BMI_GE25,SI,2019,58.1
A,PC,BMI_GE25,SI,2022,54.5
A,PC,BMI_GE25,SI,2025,56.8
A,PC,BMI_GE25,SK,2008,50.7
A,PC,BMI_GE25,SK,2014,54.2
A,PC,BMI_GE25,SK,2017,54.5
A,PC,BMI_GE25,SK,2019,58.7
A,PC,BMI_GE25,SK,2022,58.4
A,PC,BMI_GE25,SK,2025,57.7
A,PC,BMI_GE25,TR,2008,50.6
A,PC,BMI_GE25,TR,2014,56.5
A,PC,BMI_GE25,TR,2019,58.8
A,PC,BMI_GE25,TR,2022,58.5
A,PC,BMI_GE25,TR,2025,59.8
A,PC,BMI_GE25,UK,2014,55.7
A,PC,BMI_GE25,UK,2017,56.1
A,PC,BMI_GE30,AL,2022,12.6
A,PC,BMI_GE30,AT,2008,12.8
A,PC,BMI_GE30,AT,2014,14.7
A,PC,BMI_GE30,AT,2017,15
A,PC,BMI_GE30,AT,2019,17.1
A,PC,BMI_GE30,AT,2022,17.7
A,PC,BMI_GE30,AT,2025,17.6
A,PC,BMI_GE30,BA,2022,15.7
A,PC,BMI_GE30,BE,2008,14
A,PC,BMI_GE30,BE,2014,14
A,PC,BMI_GE30,BE,2017,14.7
A,PC,BMI_GE30,BE,2019,16.3
A,PC,BMI_GE30,BE,2022,15.8
A,PC,BMI_GE30,BE,2025,16.8
A,PC,BMI_GE30,BG,2008,11.5
A,PC,BMI_GE30,BG,2014,14.8
A,PC,BMI_GE30,BG,2017,14.1
A,PC,BMI_GE30,BG,2019,13.6
A,PC,BMI_GE30,BG,2022,11.7
A,PC,BMI_GE30,BG,2025,15.4
A,PC,BMI_GE30,CH,2017,11.2
A,PC,BMI_GE30,CH,2022,13.1
A,PC,BMI_GE30,CY,2008,15.6
A,PC,BMI_GE30,CY,2014,14.5
A,PC,BMI_GE30,CY,2017,14.7
A,PC,BMI_GE30,CY,2019,15.2
A,PC,BMI_GE30,CY,2022,13.8
A,PC,BMI_GE30,CY,2025,15.5
A,PC,BMI_GE30,CZ,2008,18.3
A,PC,BMI_GE30,CZ,2014,19.3
A,PC,BMI_GE30,CZ,2017,20.5
A,PC,BMI_GE30,CZ,2019,19.8
A,PC,BMI_GE30,CZ,2022,17.8
A,PC,BMI_GE30,CZ,2025,21.1
A,PC,BMI_GE30,DE,2008,15.8
A,PC,BMI_GE30,DE,2014,16.9
A,PC,BMI_GE30,DE,2017,20.9
A,PC,BMI_GE30,DE,2019,19
A,PC,BMI_GE30,DE,2022,NA
A,PC,BMI_GE30,DE,2025,20.8
A,PC,BMI_GE30,DK,2014,14.9
A,PC,BMI_GE30,DK,2017,17.9
A,PC,BMI_GE30,DK,2019,16.5
A,PC,BMI_GE30,DK,2022,19
A,PC,BMI_GE30,DK,2025,20.5
A,PC,BMI_GE30,EA20,2017,14.8
A,PC,BMI_GE30,EA20,2022,14.3
A,PC,BMI_GE30,EA20,2025,15.9
A,PC,BMI_GE30,EA21,2025,15.9
A,PC,BMI_GE30,EE,2008,18.5
A,PC,BMI_GE30,EE,2014,20.4
A,PC,BMI_GE30,EE,2017,21
A,PC,BMI_GE30,EE,2019,21.8
A,PC,BMI_GE30,EE,2022,22.1
A,PC,BMI_GE30,EE,2025,22
A,PC,BMI_GE30,EL,2008,17.6
A,PC,BMI_GE30,EL,2014,17.3
A,PC,BMI_GE30,EL,2017,11.6
A,PC,BMI_GE30,EL,2019,16.7
A,PC,BMI_GE30,EL,2022,11.9
A,PC,BMI_GE30,EL,2025,12.8
A,PC,BMI_GE30,ES,2008,15.7
A,PC,BMI_GE30,ES,2014,16.7
A,PC,BMI_GE30,ES,2017,14
A,PC,BMI_GE30,ES,2019,16
A,PC,BMI_GE30,ES,2022,14.9
A,PC,BMI_GE30,ES,2025,14.9
A,PC,BMI_GE30,EU27_2020,2014,15.4
A,PC,BMI_GE30,EU27_2020,2017,15.1
A,PC,BMI_GE30,EU27_2020,2019,16.5
A,PC,BMI_GE30,EU27_2020,2022,14.8
A,PC,BMI_GE30,EU27_2020,2025,16.3
A,PC,BMI_GE30,FI,2014,18.3
A,PC,BMI_GE30,FI,2017,20.6
A,PC,BMI_GE30,FI,2019,20.9
A,PC,BMI_GE30,FI,2022,21.2
A,PC,BMI_GE30,FI,2025,23.2
A,PC,BMI_GE30,FR,2008,12.2
A,PC,BMI_GE30,FR,2014,15.3
A,PC,BMI_GE30,FR,2017,15.1
A,PC,BMI_GE30,FR,2019,15
A,PC,BMI_GE30,FR,2022,15.2
A,PC,BMI_GE30,FR,2025,16.3
A,PC,BMI_GE30,HR,2014,18.7
A,PC,BMI_GE30,HR,2017,18.2
A,PC,BMI_GE30,HR,2019,23
A,PC,BMI_GE30,HR,2022,16.7
A,PC,BMI_GE30,HR,2025,16.5
A,PC,BMI_GE30,HU,2008,20
A,PC,BMI_GE30,HU,2014,21.2
