freq,unit,bmi,isced11,sex,age,geo,TIME_PERIOD,values
A,PC,BMI18P5-24,ED0-2,F,Y15-64,EU27_2020,2019,49.9
A,PC,BMI18P5-24,ED0-2,F,Y15-64,EU28,2014,50
A,PC,BMI18P5-24,ED0-2,F,Y15-64,FI,2014,50.8
A,PC,BMI18P5-24,ED0-2,F,Y15-64,FI,2019,50.7
A,PC,BMI18P5-24,ED0-2,F,Y15-64,FR,2014,49.6
A,PC,BMI18P5-24,ED0-2,F,Y15-64,FR,2019,46.4
A,PC,BMI18P5-24,ED0-2,F,Y15-64,HR,2014,46.3
A,PC,BMI18P5-24,ED0-2,F,Y15-64,HR,2019,34.1
A,PC,BMI18P5-24,ED0-2,F,Y15-64,HU,2014,46.7
A,PC,BMI18P5-24,ED0-2,F,Y15-64,HU,2019,43.2
A,PC,BMI18P5-24,ED0-2,F,Y15-64,IE,2014,50.7
A,PC,BMI18P5-24,ED0-2,F,Y15-64,IE,2019,NA
A,PC,BMI18P5-24,ED0-2,F,Y15-64,IS,2014,52.9
A,PC,BMI18P5-24,ED0-2,F,Y15-64,IS,2019,48.2
A,PC,BMI18P5-24,ED0-2,F,Y15-64,IT,2014,57.7
A,PC,BMI18P5-24,ED0-2,F,Y15-64,IT,2019,55.9
A,PC,BMI18P5-24,ED0-2,F,Y15-64,LT,2014,66.4
A,PC,BMI18P5-24,ED0-2,F,Y15-64,LT,2019,65.9
A,PC,BMI18P5-24,ED0-2,F,Y15-64,LU,2014,46.8
A,PC,BMI18P5-24,ED0-2,F,Y15-64,LU,2019,48.8
A,PC,BMI18P5-24,ED0-2,F,Y15-64,LV,2014,61.9
A,PC,BMI18P5-24,ED0-2,F,Y15-64,LV,2019,59.9
A,PC,BMI18P5-24,ED0-2,F,Y15-64,MT,2014,39.6
A,PC,BMI18P5-24,ED0-2,F,Y15-64,MT,2019,34
A,PC,BMI18P5-24,ED0-2,F,Y15-64,NL,2014,52.2
A,PC,BMI18P5-24,ED0-2,F,Y15-64,NL,2019,50.2
A,PC,BMI18P5-24,ED0-2,F,Y15-64,NO,2014,57.8
A,PC,BMI18P5-24,ED0-2,F,Y15-64,NO,2019,56.3
A,PC,BMI18P5-24,ED0-2,F,Y15-64,PL,2014,53.5
A,PC,BMI18P5-24,ED0-2,F,Y15-64,PL,2019,56.2
A,PC,BMI18P5-24,ED0-2,F,Y15-64,PT,2014,42
A,PC,BMI18P5-24,ED0-2,F,Y15-64,PT,2019,40.8
A,PC,BMI18P5-24,ED0-2,F,Y15-64,RO,2014,49.1
A,PC,BMI18P5-24,ED0-2,F,Y15-64,RO,2019,54.2
A,PC,BMI18P5-24,ED0-2,F,Y15-64,RS,2019,45.3
A,PC,BMI18P5-24,ED0-2,F,Y15-64,SE,2014,52.2
A,PC,BMI18P5-24,ED0-2,F,Y15-64,SE,2019,54.7
A,PC,BMI18P5-24,ED0-2,F,Y15-64,SI,2014,41.2
A,PC,BMI18P5-24,ED0-2,F,Y15-64,SI,2019,46.3
A,PC,BMI18P5-24,ED0-2,F,Y15-64,SK,2014,51.9
A,PC,BMI18P5-24,ED0-2,F,Y15-64,SK,2019,47.1
A,PC,BMI18P5-24,ED0-2,F,Y15-64,TR,2014,37.7
A,PC,BMI18P5-24,ED0-2,F,Y15-64,TR,2019,30.7
A,PC,BMI18P5-24,ED0-2,F,Y15-64,UK,2014,37.3
A,PC,BMI18P5-24,ED0-2,F,Y18-24,AT,2014,72.7
A,PC,BMI18P5-24,ED0-2,F,Y18-24,AT,2019,51.9
A,PC,BMI18P5-24,ED0-2,F,Y18-24,BE,2014,66.4
A,PC,BMI18P5-24,ED0-2,F,Y18-24,BE,2019,54.8
A,PC,BMI18P5-24,ED0-2,F,Y18-24,BG,2014,79.7
A,PC,BMI18P5-24,ED0-2,F,Y18-24,BG,2019,76
A,PC,BMI18P5-24,ED0-2,F,Y18-24,CY,2014,NA
A,PC,BMI18P5-24,ED0-2,F,Y18-24,CY,2019,NA
A,PC,BMI18P5-24,ED0-2,F,Y18-24,CZ,2014,79
A,PC,BMI18P5-24,ED0-2,F,Y18-24,CZ,2019,82.9
A,PC,BMI18P5-24,ED0-2,F,Y18-24,DE,2014,59.4
A,PC,BMI18P5-24,ED0-2,F,Y18-24,DE,2019,64.2
A,PC,BMI18P5-24,ED0-2,F,Y18-24,DK,2014,63
A,PC,BMI18P5-24,ED0-2,F,Y18-24,DK,2019,70.2
A,PC,BMI18P5-24,ED0-2,F,Y18-24,EE,2014,70.6
A,PC,BMI18P5-24,ED0-2,F,Y18-24,EE,2019,72.2
A,PC,BMI18P5-24,ED0-2,F,Y18-24,EL,2014,NA
A,PC,BMI18P5-24,ED0-2,F,Y18-24,EL,2019,NA
A,PC,BMI18P5-24,ED0-2,F,Y18-24,ES,2014,63.6
A,PC,BMI18P5-24,ED0-2,F,Y18-24,ES,2019,65.3
A,PC,BMI18P5-24,ED0-2,F,Y18-24,EU27_2020,2014,66.5
A,PC,BMI18P5-24,ED0-2,F,Y18-24,EU27_2020,2019,64
A,PC,BMI18P5-24,ED0-2,F,Y18-24,EU28,2014,66.6
A,PC,BMI18P5-24,ED0-2,F,Y18-24,FI,2014,68.1
A,PC,BMI18P5-24,ED0-2,F,Y18-24,FI,2019,55.8
A,PC,BMI18P5-24,ED0-2,F,Y18-24,FR,2014,60.3
A,PC,BMI18P5-24,ED0-2,F,Y18-24,FR,2019,49.7
A,PC,BMI18P5-24,ED0-2,F,Y18-24,HR,2014,59.2
A,PC,BMI18P5-24,ED0-2,F,Y18-24,HR,2019,83.5
A,PC,BMI18P5-24,ED0-2,F,Y18-24,HU,2014,60.6
A,PC,BMI18P5-24,ED0-2,F,Y18-24,HU,2019,58.4
A,PC,BMI18P5-24,ED0-2,F,Y18-24,IE,2014,NA
A,PC,BMI18P5-24,ED0-2,F,Y18-24,IE,2019,NA
A,PC,BMI18P5-24,ED0-2,F,Y18-24,IS,2014,77.7
A,PC,BMI18P5-24,ED0-2,F,Y18-24,IS,2019,56.5
A,PC,BMI18P5-24,ED0-2,F,Y18-24,IT,2014,73
A,PC,BMI18P5-24,ED0-2,F,Y18-24,IT,2019,63.3
A,PC,BMI18P5-24,ED0-2,F,Y18-24,LT,2014,79.3
A,PC,BMI18P5-24,ED0-2,F,Y18-24,LT,2019,81.5
A,PC,BMI18P5-24,ED0-2,F,Y18-24,LU,2014,59.7
A,PC,BMI18P5-24,ED0-2,F,Y18-24,LU,2019,59.9
A,PC,BMI18P5-24,ED0-2,F,Y18-24,LV,2014,76.2
A,PC,BMI18P5-24,ED0-2,F,Y18-24,LV,2019,75.7
A,PC,BMI18P5-24,ED0-2,F,Y18-24,MT,2014,52
A,PC,BMI18P5-24,ED0-2,F,Y18-24,MT,2019,43.4
A,PC,BMI18P5-24,ED0-2,F,Y18-24,NL,2014,67.8
A,PC,BMI18P5-24,ED0-2,F,Y18-24,NL,2019,69.5
A,PC,BMI18P5-24,ED0-2,F,Y18-24,NO,2014,66.1
A,PC,BMI18P5-24,ED0-2,F,Y18-24,NO,2019,66.3
A,PC,BMI18P5-24,ED0-2,F,Y18-24,PL,2014,73.2
A,PC,BMI18P5-24,ED0-2,F,Y18-24,PL,2019,68.2
A,PC,BMI18P5-24,ED0-2,F,Y18-24,PT,2014,59.8
A,PC,BMI18P5-24,ED0-2,F,Y18-24,PT,2019,60.7
A,PC,BMI18P5-24,ED0-2,F,Y18-24,RO,2014,69.2
A,PC,BMI18P5-24,ED0-2,F,Y18-24,RO,2019,76.5
A,PC,BMI18P5-24,ED0-2,F,Y18-24,RS,2019,61.2
A,PC,BMI18P5-24,ED0-2,F,Y18-24,SE,2014,73.7
A,PC,BMI18P5-24,ED0-2,F,Y18-24,SE,2019,73.8
A,PC,BMI18P5-24,ED0-2,F,Y18-24,SI,2014,77.6
A,PC,BMI18P5-24,ED0-2,F,Y18-24,SI,2019,79.8
A,PC,BMI18P5-24,ED0-2,F,Y18-24,SK,2014,77.2
A,PC,BMI18P5-24,ED0-2,F,Y18-24,SK,2019,68.9
A,PC,BMI18P5-24,ED0-2,F,Y18-24,TR,2014,62.6
A,PC,BMI18P5-24,ED0-2,F,Y18-24,TR,2019,60.3
A,PC,BMI18P5-24,ED0-2,F,Y18-24,UK,2014,66.7
A,PC,BMI18P5-24,ED0-2,F,Y18-29,AT,2014,65.8
